name,lat,lon,address,street,housenumber,city,state,postcode,start_date,opening_date,osm_first_seen,osm_type,osm_id,dist_to_nearest_prior_km
In-N-Out Burger,34.9833769,-118.9482857,,Dennis Mccarthy Drive,5926,Lebec,CA,93243,2007-08-30,,2012-08-22,way,177273519,35.555
In-N-Out Burger,32.771475,-115.5526905,,4th st.,2390,El Centro,CA,92243,2007-12-13,,2015-05-13,way,344873553,122.449
In-N-Out Burger,33.5732519,-117.1789859,,Avenida Acacias,39697,Murrieta,CA,92563,2007-12-20,,2016-12-28,way,462245406,6.738
In-N-Out Burger,39.13596,-121.6351815,,Sunsweet Boulevard,1375,Yuba City,CA,95993,2008-03-27,,2019-01-16,way,663755400,54.994
In-N-Out Burger,33.6811287,-117.1751095,,Haun Road,30296,Menifee,CA,92584,2008-10-28,,2011-04-30,way,111058295,11.586
In-N-Out Burger,37.1524597,-121.6548009,,Cochrane Road,895,Morgan Hill,CA,95037,,,2008-11-30,way,28714380,21.06
In-N-Out Burger,38.5915571,-121.5502019,,Ikea Court,780,West Sacramento,CA,95605,2008-12-05,,2011-07-07,way,120652182,6.428
In-N-Out Burger,32.6204984,-116.96199,,Eastlake Parkway,1725,Chula Vista,CA,91915,2008-12-23,,2016-03-28,way,406115081,14.229
In-N-Out Burger,38.6467295,-121.1143975,,Placerville Road,225,Folsom,CA,95630,2009-01-29,,2012-05-04,way,162050125,13.894
In-N-Out Burger,37.0237981,-121.564204,,Leavesley Road,565,Gilroy,CA,95020,,,2009-04-28,way,33792833,16.409
In-N-Out Burger,34.521129,-117.3220185,,Civic Drive,15290,Victorville,CA,92394,2009-09-24,,2018-12-17,way,655570838,11.655
In-N-Out Burger,38.7896493,-121.2831678,,Fairway Drive,10309,Roseville,CA,95678,,,2009-12-10,way,45886671,19.503
In-N-Out Burger,37.3502945,-121.921861,,Newhall Drive,550,San Jose,CA,95110,2010-01-14,,2012-05-17,way,163917089,6.778
In-N-Out Burger,35.3830602,-119.0909247,,Rosedale Highway,7985,Bakersfield,CA,93308,,,2010-05-20,way,59690571,4.359
In-N-Out Burger,37.4905957,-122.2278514,,Veterans Boulevard,949,Redwood City,CA,94063,2010-08-26,,2013-08-10,way,233058069,14.175
In-N-Out Burger,33.1151488,-117.1018928,,West Valley Parkway,1260,Escondido,CA,92029,2010-09-30,,2016-03-06,way,401882502,7.426
In-N-Out Burger,35.1272716,-120.5979057,,West Branch Street,1170,Arroyo Grande,CA,93420,2010-11-16,,2012-05-06,way,162500972,26.688
In-N-Out Burger,33.6877545,-117.919892,,Harbor Boulevard,3211,Costa Mesa,CA,92626,2010-12-17,,2013-07-04,way,228727840,3.512
In-N-Out Burger,32.9389329,-117.0464915,,Gregg Court,12890,Poway,CA,92064,2011-02-21,,2017-12-04,way,544660623,5.57
In-N-Out Burger,38.2345829,-122.6208645,,Lakeville Highway,1010,Petaluma,CA,94952,,,2011-03-31,way,106610109,16.272
In-N-Out Burger,37.5129132,-122.2585755,,Industrial Road,445,San Carlos,CA,94070,2011-06-16,,2014-01-04,way,255297212,3.675
In-N-Out Burger,37.68821,-122.4720315,,Washington Street,260,Daly City,CA,94015,,,2011-07-20,way,122395696,12.517
In-N-Out Burger,33.8816816,-117.6135375,,Auto Center Drive,450,Corona,CA,92882,2011-10-11,,2016-12-28,way,462244172,16.604
In-N-Out Burger,38.7582613,-121.2595541,,Taylor Road,1803,Roseville,CA,95678,,,2011-11-24,way,138216856,4.046
In-N-Out Burger,33.6133618,-117.7086348,,Avenida de la Carlota,24001,Laguna Hills,CA,92653,,,2011-11-26,way,138512301,5.384
In-N-Out Burger,33.6949883,-117.8270941,,Park Avenue,2895,Tustin,CA,92782,,,2011-12-29,way,143166125,4.376
In-N-Out Burger,33.8488503,-118.3531603,,Hawthorne Boulevard,20150,Torrance,CA,90504,2012,,2016-09-15,way,442634074,4.875
In-N-Out Burger,37.1009831,-121.0145701,,West Henry Miller Avenue,28900,Santa Nella,CA,95322,2012-01-26,,2018-12-15,way,655180957,49.519
In-N-Out Burger,33.8319575,-117.835679,,North Tustin Street,2585,Orange,CA,92865,,,2012-07-10,way,170973961,5.09
In-N-Out Burger,36.8369068,-119.7005714,,North Clovis Avenue,382,Clovis,CA,93612,,,2012-09-13,way,180862567,9.155
